id,wikipedia_id,url,question,correct,wrong1,wrong2,wrong3,wrong4,wrong5
160df898-19b9-44d9-9f78-091c2df4c289,890646,https://simple.wikipedia.org/wiki/Madeleine%20Arthur,What character did Madeleine Arthur portray in the movie Big Eyes?,Jane Keane,Amy Adams,Willa Warren,Margaret Keane,Alice Keane,Ellie Warren
e073b138-7078-44a8-89ed-d100c2de93da,645037,https://simple.wikipedia.org/wiki/Francine%20Muyumba,What position does Francine Muyumba currently hold?,President of the Pan African Youth Union,President of the African Student Union,Chairperson of the Youth African Coalition,Secretary-General of the Pan African Alliance,Vice President of the African Union Youth,Leader of Youth Initiatives Africa
e7b38052-30d5-4e45-82ed-f9a7afd6351e,803838,https://simple.wikipedia.org/wiki/Otto%20Duintjer,What chair did Otto Duintjer hold at the University of Amsterdam from 1987 until retirement?,Philosophy and Spirituality,Philosophy and Science,Philosophy and Culture,Logic and Spirituality,Philosophy and Religion,Metaphysics and Ethics
30202f68-1c07-4d19-be91-234e31e930a6,78801,https://simple.wikipedia.org/wiki/M%C3%BCnster-Geschinen,Which two municipalities merged initially to form Münster-Geschinen?,Münster and Geschinen,Münster and Reckingen,Geschinen and Blitzingen,Niederwald and Grafschaft,Reckingen and Niederwald,Blitzingen and Grafschaft
d9bf9559-dbfa-4860-a1f1-9d48e736cadb,363635,https://simple.wikipedia.org/wiki/Herero%20and%20Namaqua%20genocide,When did the United Nations release the Whitaker Report regarding the genocide?,1985,1975,1995,2005,2000,1980
5a604722-fa09-41c2-acba-5f7574d719a6,409357,https://simple.wikipedia.org/wiki/Daniel%20Adair,What type of music does Daniel Adair primarily play?,Rock.,Jazz.,Classical.,Pop.,Country.,Hip-Hop.
5b90ef04-4451-4b59-a19c-86a3e7b635f2,623797,https://simple.wikipedia.org/wiki/Vladimir%20Tsirelson,Vladimir Tsirelson is one of the pioneers in which area of study?,Quantum Crystallography,Molecular Biology,Nanotechnology,Atmospheric Chemistry,Computational Physics,Thermodynamics
820a00b6-6652-492f-9bc5-ad1a3ee9b442,476226,https://simple.wikipedia.org/wiki/Brian%20Leetch,How many seasons did Brian Leetch play in the NHL?,18 seasons,15 seasons,20 seasons,17 seasons,12 seasons,22 seasons
9b5e5cf6-3cde-4884-b12f-207633fb244c,394430,https://simple.wikipedia.org/wiki/Leandra%20Leal,In what year did Leandra Leal act in the miniseries A Muralha?,2000,1999,2001,2002,2003,2004
c6a17bea-ca27-44eb-b575-2bfface119ff,1053169,https://simple.wikipedia.org/wiki/Hylodes%20nasus,What color can the skin of the Santa Catarina tree toad's back be?,Brown or gray,Green or yellow,Black or white,Blue or red,Tan or orange,Purple or pink
05d874ed-59a2-4e17-a510-138fad0071d0,688719,https://simple.wikipedia.org/wiki/Empty%20Homes%20Tax,What was the reported effect on rental vacancy rates in Vancouver after implementing the empty home tax?,increased by only 0.1%,increased by 0.5%,decreased by 0.1%,increased by 1.2%,decreased by 0.5%,increased by 0.3%
b70334bc-cc11-48ea-b2e6-54bdee5cf4c4,220073,https://simple.wikipedia.org/wiki/The%20Brothers%20Karamazov,What does the excerpt imply about hope for humankind?,The writer believes in hope for humankind.,The writer is pessimistic about the future.,The writer suggests mankind is doomed.,The writer views humanity as stagnant.,The writer is indifferent to human struggles.,The writer celebrates the absence of hope.
19e5b04c-261a-48f3-bd12-5a52c194c8d8,20340,https://simple.wikipedia.org/wiki/1196,Which prominent figure led a popular uprising in London during 1196?,William Fitz Osbern.,Robert Fitzwalter.,Geoffrey Plantagenet.,Thomas Becket.,William the Marshal.,Richard Fitzalan.
7f1cb32f-e763-462a-bbb7-c1e1287eabb9,509835,https://simple.wikipedia.org/wiki/Dongguan,What is the population of Dongguan as of the end of 2012?,8.29 million,7.5 million,6.8 million,9.1 million,8.1 million,8.75 million
75ec19f3-2a87-44a4-a509-93fb813d9106,41751,https://simple.wikipedia.org/wiki/Nellis%20Air%20Force%20Base,"What is the name of the military base located in Las Vegas, Nevada?",Nellis Air Force Base,Creech Air Force Base,McCarran International Airport,Henderson Air Force Base,Nellis Auxiliary Airstrip,Paradise Air Force Base
1662ebc1-20da-4b99-bcbc-3eac13a18dc1,182445,https://simple.wikipedia.org/wiki/Zapata%20County%2C%20Texas,What was the population of Zapata County in 2020?,"13,889","15,600","10,432","12,345","14,200","9,875"
f939abcc-edc6-46c6-9b46-e0114f2d4b3a,314271,https://simple.wikipedia.org/wiki/Pre-frontal%20cortex,What major function is typically associated with the prefrontal cortex?,Executive function,Sensory perception,Motor control,Emotional regulation,Visual processing,Language comprehension
980f3f5a-c232-44ae-8ec0-6ee5806ab69f,916647,https://simple.wikipedia.org/wiki/Raymond%20S%C3%A9guy,What is the full name of Raymond Séguy?,Raymond Gaston Joseph Séguy,Raymond Jean Paul Séguy,Raymond Louis Joseph Séguy,Raymond Pierre Joseph Séguy,Raymond Gaston Paul Séguy,Raymond Gaston Michel Séguy
af7f2732-2de9-49ff-ac3e-ba01650a86c7,583836,https://simple.wikipedia.org/wiki/Arthur%20Moulin,In which region did Arthur Moulin serve as a member of the National Assembly?,Nord,Pas-de-Calais,Île-de-France,Provence-Alpes-Côte d'Azur,Normandy,Bretagne
8066d0e7-f492-4d7b-913a-3f9fd0e35c29,586093,https://simple.wikipedia.org/wiki/Massachusetts%20Bay%20Transportation%20Authority,What area does the SL4 connect with its stops?,Dudley Station and South Station,Long Wharf and Charlestown,Logan Airport and Dudley Station,Boston College and South Station,Chinatown and Hingham Shipyard,Downtown Crossing and Lincoln Center
f8b28cfc-d066-4f70-92bc-e21929c95eca,426181,https://simple.wikipedia.org/wiki/Winnfield%2C%20Louisiana,Which municipality is the most populous in Winn Parish?,Winnfield,Goldonna,Calvin,Dodson,Montgomery,Sikes
28cfdc67-0746-43e4-a6ae-ef31f074d788,941975,https://simple.wikipedia.org/wiki/Disney%20Mirrorverse,What is the name of the mobile role-playing game featuring Disney and Pixar characters?,Disney Mirrorverse,Disney Adventure Quest,Pixar Legends,Disney RPG Challenge,Disney Character Battle,Pixar Mirror World
c021fe83-fff3-423d-ba4d-3470a24d292a,768532,https://simple.wikipedia.org/wiki/Bobby%20Storey,What was Robert Storey's role in the Provisional Irish Republican Army?,Member,Leader,Founder,Commander,Mentor,Advisor
5d3a95dc-d093-4db2-8247-bfcc1cc1fc11,331265,https://simple.wikipedia.org/wiki/Kaltukatjara,Which group primarily owns the outstations on the eastern side of the border?,Pitjantjatjara families,Wintalyka families,Ngaanyatjarra families,Mala families,Yankunytjatjara families,Kukatja families
0da938a1-1430-4984-a213-730b6e321736,390842,https://simple.wikipedia.org/wiki/Norman%20Lloyd,In which film did Norman Lloyd play a Nazi spy?,Saboteur,North by Northwest,The Man Who Knew Too Much,The 39 Steps,Vertigo,The Birds
14ad918b-a61c-4e7a-b957-2547951b9b12,875760,https://simple.wikipedia.org/wiki/Ladislaus%20L%C3%B6b,What did Ladislaus Löb specialize in?,German,French,English,Italian,Spanish,Dutch
ab01e905-106c-41bb-b591-5663101decca,132063,https://simple.wikipedia.org/wiki/G%C3%A9rard%20Houllier,What was Gérard Houllier's role at OL Reign at the time of his death?,Technical director,Head coach,Club president,Chief scout,Player agent,Fitness coach
df0f3843-b9e1-4b8f-b846-e71793e61f36,49232,https://simple.wikipedia.org/wiki/Documenta,Is documenta a recurring event?,"Yes, it occurs every five years.","No, it is a one-time event.","Yes, it is held annually.","No, it changes locations every year.","Yes, but only once a decade.","No, it is a seasonal exhibition."
5faabd0f-8ce9-4fe2-9b07-fa48c6bb48dc,136960,https://simple.wikipedia.org/wiki/African%20bush%20elephant,How much can a bull African bush elephant weigh?,13000 pounds,10000 pounds,8000 pounds,15000 pounds,12000 pounds,9000 pounds
045752e3-232c-4944-9995-b3706d9aa41c,589065,https://simple.wikipedia.org/wiki/Mohammed%20bin%20Salman,Who is the Crown Prince of Saudi Arabia?,Mohammad bin Salman Al Saud,Mohammed bin Rashid Al Maktoum,Mohammad bin Nayef,Abdullah bin Abdulaziz,Salman bin Abdulaziz,Fahd bin Abdulaziz
3bc28015-8cfb-4f91-944e-a4c227533a57,778026,https://simple.wikipedia.org/wiki/R.%20Toros,What was R. Toros's age at the time of his death?,85 years,80 years,90 years,75 years,70 years,88 years
b0792efb-c43d-4770-8cbd-60ea1852c11f,806520,https://simple.wikipedia.org/wiki/Ray%20Perkins,Where was Ray Perkins born?,"Petal, Mississippi","Hattiesburg, Mississippi","Jackson, Mississippi","Gulfport, Mississippi","Vicksburg, Mississippi","Biloxi, Mississippi"
44830374-f05d-44fe-875b-e37a6eb241ca,606434,https://simple.wikipedia.org/wiki/Hind%20bint%20Hamad%20bin%20Khalifa%20Al%20Thani,Which degree did Hind obtain from University College London?,Master’s degree in Human Rights,Bachelor’s degree in Law,Master’s degree in Political Science,Bachelor’s degree in Human Rights,Master’s degree in International Relations,Doctorate in Human Rights Law
70f00b4d-c626-45bd-aea6-62afb99838cd,539248,https://simple.wikipedia.org/wiki/Tony%20Conrad,How old was Tony Conrad at the time of his death?,76,70,65,80,72,74
2c1ef820-14f6-4e90-bad4-b4b3c37e14ca,96157,https://simple.wikipedia.org/wiki/Mae%20Jemison,Which famous television series did Mae Jemison appear in?,Star Trek: The Next Generation.,The Twilight Zone.,The X-Files.,Doctor Who.,Battlestar Galactica.,Lost in Space.
d1254e6c-ee14-4953-9291-4966a8f7f979,67989,https://simple.wikipedia.org/wiki/George%20II%20of%20Great%20Britain,What significant event caused George II's death?,Heart problems,Stroke,Pneumonia,Accident,Old age,Cancer
1c480e7f-29e5-47bd-91b8-244a40631aa9,328130,https://simple.wikipedia.org/wiki/Tuenti,In which year did Telefónica acquire 100% of Tuenti?,2011,2009,2010,2012,2013,2014
3b788f32-6209-48f3-b311-94640b54e228,1935,https://simple.wikipedia.org/wiki/Mexico,What was a result of the war between Mexico and the United States between 1846 and 1848?,Mexico lost its large northern areas,Mexico gained new territories in the south,Mexico became a monarchy,Mexico established a military dictatorship,Mexico gained independence from Spain,Mexico's population increased significantly
5d83c1cf-18c4-4b4d-bf3d-6b3c3663de77,633046,https://simple.wikipedia.org/wiki/Masaz%C5%8D%20Nonaka,Who succeeded Masazō Nonaka as the oldest living man?,Chitetsu Watanabe,Gustav Gerneth,Francisco Núñez Olivera,Domingo Villa Avisencio,Masamitsu Yoshida,Takeshi Yamamoto
5f0ecb11-eeaf-4827-8ca5-22823288fbe4,286583,https://simple.wikipedia.org/wiki/Danny%20Glover,What notable cause is Danny Glover associated with?,Activism,Writing,Singing,Dancing,Photography,Teaching
8e5119a4-163d-4e52-b70a-a64109093e92,103796,https://simple.wikipedia.org/wiki/Sleep%20disorder,What is a polysomnogram?,A test commonly ordered for some sleep disorders.,A medication used to treat insomnia.,A sleep aid for those with excessive daytime sleepiness.,A dietary supplement for improving sleep quality.,A device used to monitor snoring.,A surgical procedure for sleep apnea.
d103a088-b2bc-412e-91b7-497efeafa16a,281406,https://simple.wikipedia.org/wiki/Self-synchronizing%20code,What are examples of 'words' in the self-synchronizing code?,The sequences of two letters '00' and '11'.,Long strings of 1's and random symbols.,All possible combinations of binary digits.,Words made up exclusively of the digit '1'.,Single letters like '0' and '1' only.,Sequences of three binary digits in length.
6d93db9f-229a-4c49-ac48-2ae8f092f0c7,254591,https://simple.wikipedia.org/wiki/Pedro%20Martinez,What country is Pedro Martínez from?,Dominican Republic,Cuba,Puerto Rico,Venezuela,Mexico,Colombia
4e400e57-fc58-499e-92a2-3d26e1cd7e8a,923998,https://simple.wikipedia.org/wiki/Earl%20Devaney,What year was Earl E. Devaney born?,1947,1950,1945,1949,1960,1955
e0d6deaf-4514-4868-bd9f-455d588dd546,321039,https://simple.wikipedia.org/wiki/Much%20Ado%20About%20Nothing,What does Don John convince Claudio of?,That Hero is cheating on him,That Beatrice loves Benedick,That he should marry Beatrice,That Benedick is untrustworthy,That Hero is secretly in love with Benedick,That Claudio should leave Messina
38cdae84-f3e8-4b87-8037-d9e18d96eb96,63849,https://simple.wikipedia.org/wiki/Miki%20Ando,In which year did Miki Ando win the Japanese National Championship for the second time?,2011,2007,2008,2010,2009,2012
3c867d02-f788-4808-aaf3-e28b995138bf,77107,https://simple.wikipedia.org/wiki/Six-Day%20War,What was the primary goal of the Israeli pilots during the aerial assault?,To know the location of each Egyptian jet,To assess the strength of Egyptian ground forces,To identify Egyptian civilian infrastructure,To create panic among the Egyptian population,To capture strategic locations in Egypt,To establish a no-fly zone over Sinai
12e66621-2d2d-49d3-81b6-acdaf8d37af9,973251,https://simple.wikipedia.org/wiki/J.%20Cole,What Grammy Award did J. Cole win?,Best Rap Song,Best New Artist,Album of the Year,Best Hip Hop Performance,Best Rap Album,Best Rap Performance
26e3e912-9486-46fd-a5cc-4fff8e481e69,572199,https://simple.wikipedia.org/wiki/Dinocephalosaurus,What does the name Dinocephalosaurus mean?,terrible headed lizard,fearsome clawed dinosaur,mighty necked reptile,giant sea monster,ferocious land predator,ancient aquatic dragon
7452dda4-797e-43ac-b2cf-60ba1a73a834,808977,https://simple.wikipedia.org/wiki/Holly%20Dunn,What was the primary genre of Holly Dunn's music?,Country music,Pop music,Rock music,Jazz music,Blues music,Hip-hop music
3f6226ce-9c90-4451-bc50-e063064775a0,105307,https://simple.wikipedia.org/wiki/Theresa%20May,In what year did Theresa May begin her career at the Bank of England?,1977,1981,1983,1985,1990,1997
2ca902fc-e06b-4d11-ba74-38d3a89a7cf4,99531,https://simple.wikipedia.org/wiki/Federal%20Council%20%28Switzerland%29,What is required for prosecuting a Councillor for crimes related to official capacity?,The assent of the Federal Assembly.,Approval from the Supreme Court.,Consensus from local government officials.,A simple vote from the public.,The Councillor's own consent.,Permission from international authorities.
2ff07b38-645c-46d3-bf80-745398613163,746398,https://simple.wikipedia.org/wiki/Norte%20de%20Santander%20Department,Norte de Santander borders which country?,Venezuela,Ecuador,Peru,Brazil,Panama,Chile
7244b948-a904-42ec-86f7-243434d95de6,286610,https://simple.wikipedia.org/wiki/Courtney%20Thorne-Smith,Courtney Thorne-Smith is an actress from which country?,United States,Canada,Australia,United Kingdom,New Zealand,Ireland
90f32e37-6e65-44ce-bcb7-fb9b5efa001e,20410,https://simple.wikipedia.org/wiki/All%20in%20the%20Family,What is the fictional address of Archie and Edith's house?,704 Hauser,123 Main Street,456 Oak Avenue,789 Baker Street,100 Elm Road,321 Maple Court
7394482f-0cd6-424d-8a32-e81e8ac866a8,77079,https://simple.wikipedia.org/wiki/Saxe-Eisenach,What was the capital of all three duchies of Saxe-Eisenach?,Eisenach,Gotha,Weimar,Altenburg,Coburg,Dresden
d069d231-12f1-44d4-b7f5-06f333aa4a34,367499,https://simple.wikipedia.org/wiki/Pig-nosed%20turtle,What feature distinguishes the pig-nosed turtle's flippers?,Broad paddle-like flippers with two claws,Narrow flippers with four claws,Long fin-like flippers without claws,Short flippers with three claws,Wide webbed flippers with no claws,Strong flippers with five claws
a161571f-13b4-40cd-b7d2-96eac36d5826,13325,https://simple.wikipedia.org/wiki/Berkeley%2C%20California,Which band is Berkeley known as the native city of?,Green Day.,The Offspring.,Blink-182.,Red Hot Chili Peppers.,Metallica.,Rancid.
e5578e1c-3145-47d5-9717-4195ebbb9a4b,890768,https://simple.wikipedia.org/wiki/Doge%20%28meme%29,What style of text is used in the Doge meme?,Broken English,Formal English,Slang English,Old English,Professional jargon,Technical English
cfd30dd0-f2b9-45ea-9d27-8debb1a349f6,410201,https://simple.wikipedia.org/wiki/Osman%20Cavc%C4%B1,What was Osman Cavcı's first movie role?,Hababam Sınıfı Güle Güle,Zampara Seyfettin,Aşk Filmlerinin Unutulmaz Yönetmeni,Dikkat Ortalıkta Müzikal Var,Küçük Tohum,Çocuklar ve Hayvanlar
7ea840ae-4278-4aff-bab3-53f039092680,886808,https://simple.wikipedia.org/wiki/Alfa%20Romeo%20135,Which of these aircraft was not listed as a user of the Alfa Romeo 135?,Boeing B-17,Cant Z.1018,Savoia-Marchetti SM.82,Savoia-Marchetti SM.90,Focke-Wulf Fw 200,CRDA CANT Z.1018
2c05ca3f-b208-4f21-9f52-a10d68323b87,729409,https://simple.wikipedia.org/wiki/Zoe%20Kazan,What role does Zoe Kazan primarily hold in the entertainment industry?,Actress,Visual artist,Choreographer,Composer,Cinematographer,Sound engineer
4341ddb5-2073-4a50-86a0-a7652fb1dae7,147402,https://simple.wikipedia.org/wiki/Heritage%20Lottery%20Fund,When did the Heritage Lottery Fund start accepting applications?,1994,1995,1996,1992,2000,1993
785a4d21-d16b-4330-8407-0bb4a606f08f,168446,https://simple.wikipedia.org/wiki/Pecan,Which of the following states is located to the east of the pecan's native range?,North Carolina,Oklahoma,Alabama,Texas,Arkansas,Mississippi
3a55de88-6972-4d83-95bd-1c7b99c544a7,48825,https://simple.wikipedia.org/wiki/Blue%20box,Who is the most famous user of a blue box?,John Draper,Steve Jobs,Steve Wozniak,Bill Gates,Mark Zuckerberg,Larry Page
3a9da76f-c34e-4d11-8c06-3aec031617c2,68492,https://simple.wikipedia.org/wiki/Meiji%20period,In what year was the Constitution of the Empire of Japan enacted?,1889-1890,1879-1880,1892-1893,1901-1902,1898-1899,1904-1905
cdeffe83-8fc1-43a4-9c77-13c49dc6307c,755906,https://simple.wikipedia.org/wiki/Ayiroor,What type of soil is found around Ayiroor?,Very fertile,Sandy,Clayey,Rocky,Salty,Peaty
68342029-b122-4595-87a1-7376f5437cd1,657911,https://simple.wikipedia.org/wiki/Spartanburg%2C%20South%20Carolina,What is Spartanburg's rank by population size in South Carolina?,12th-largest city by population,5th-largest city by population,10th-largest city by population,15th-largest city by population,8th-largest city by population,20th-largest city by population
06d7a46c-030a-427e-9b7a-1681c12e10cc,921782,https://simple.wikipedia.org/wiki/Gutian%20people,What is the debate surrounding the Gutians focused on?,Their linguistic roots,Their cultural practices,Their military tactics,Their economic systems,Their religious beliefs,Their architectural styles
be283c72-b0b7-4f92-96c6-3bc4013e5a3a,13403,https://simple.wikipedia.org/wiki/Republican%20Party%20%28United%20States%29,Who is known for being a former U.S. Secretary of State?,Henry Kissinger,Karl Rove,Colin Powell,Donald Rumsfeld,Chuck Hagel,George W. Bush
9d70008d-541c-46a5-b1a5-c596ef4f76f4,20314,https://simple.wikipedia.org/wiki/Tennis,In what century was lawn tennis invented?,mid 19th-century,early 19th-century,late 18th-century,early 20th-century,mid 20th-century,late 19th-century
4766124b-8690-47dc-8daa-437788bf045a,114649,https://simple.wikipedia.org/wiki/Rhythm%20Tengoku,What type of game is Rhythm Tengoku?,It is a music mini-game collection.,It is a racing simulation game.,It is a role-playing adventure game.,It is a first-person shooter game.,It is a sports management game.,It is a puzzle-solving game.
828bda3f-93b5-4ee9-b205-abed5c7a7a8f,65258,https://simple.wikipedia.org/wiki/Hanging%20Gardens%20of%20Babylon,What is said to have caused the destruction of the Hanging Gardens?,An earthquake,A flood,A fire,A war,A drought,A plague
ef331189-1ccd-4513-bd54-debd74114b87,225544,https://simple.wikipedia.org/wiki/Kefalonia,Which beach is the most popular on the island?,Myrtos,Petani,Lassi,Makris Gialos,Antisamos,Koutsoupia
c6fa0b2a-b4dd-4351-bff6-c38f673dcf47,526450,https://simple.wikipedia.org/wiki/Philip%20of%20Hesse-Darmstadt,What was the birth year of Philip of Hesse-Darmstadt?,1671,1681,1661,1675,1685,1691
349b8bfc-ea7c-4259-8816-a33512861eae,141413,https://simple.wikipedia.org/wiki/Jaal%20%281973%20movie%29,What genre is the movie Jaal classified as?,Musical and romantic,Science fiction and thriller,Action and adventure,Horror and drama,Documentary and comedy,Fantasy and mystery
9e470d62-498c-49b6-b33a-6ea6c215589e,79623,https://simple.wikipedia.org/wiki/Borat%20Sagdiyev,What financial trouble did Dharma Arthur face after losing her job?,Struggling to keep her house out of foreclosure,Going bankrupt,Facing high medical bills,Investing in risky stocks,Paying for student loans,Losing her savings
9928d8ff-cf63-41e9-ba7a-96328097b1af,939058,https://simple.wikipedia.org/wiki/Christiaan%20Petit,When did Christiaan Petit pass away?,26 December 1984,26 December 1982,26 December 1986,25 December 1984,27 December 1984,26 November 1984
69edb079-32b0-42f0-b8d0-a49d188269d1,135404,https://simple.wikipedia.org/wiki/Somali%20language,Which groups are included in the Somali diaspora?,Ethnic Somalis,Arab immigrants,Bantu tribes,Nilotic peoples,Abyssinians,Afro-Asians
